Seconds,top,bot,mid,midVoltage,gain,offset,offsetVoltage,diffAmpMultiplier,,sensor1,sensor2,sensor1_est,sensor2_est,,sensor2Previous,sensor2RawDelta,sensor2DeltaStep,sensor2DeltaPerStep
6.641,81,77,103,0.188403605,255,141,1.645299815,102.7346115,,1.72921875,0.618150875,1.728854853,0.580766082,,,,103,
7.252,81,77,104,0.188441198,255,141,1.645299815,102.7346115,,1.7285015,0.753871125,1.727533777,0.654452482,,0.618150875,0.13572025,1,0.13572025
7.915,81,77,105,0.18847879,255,141,1.645299815,102.7346115,,1.72678275,0.866680125,1.726435715,0.831027596,,0.753871125,0.112809,1,0.112809
8.574,81,77,106,0.188516383,255,141,1.645299815,102.7346115,,1.72589275,0.982501625,1.725308329,0.9224614,,0.866680125,0.1158215,1,0.1158215
9.185,81,77,107,0.188553975,255,141,1.645299815,102.7346115,,1.725052625,1.102155125,1.724143644,1.008771316,,0.982501625,0.1196535,1,0.1196535
9.845,81,77,108,0.188591567,255,141,1.645299815,102.7346115,,1.723246875,1.219960125,1.722996952,1.19428434,,1.102155125,0.117805,1,0.117805
10.508,81,77,109,0.18862916,255,141,1.645299815,102.7346115,,1.722570625,1.34026375,1.721825938,1.263758621,,1.219960125,0.120303625,1,0.120303625
11.17,81,77,110,0.188666752,255,141,1.645299815,102.7346115,,1.721852,1.45480175,1.720711046,1.337586282,,1.34026375,0.114538,1,0.114538
11.827,81,77,111,0.188704344,255,141,1.645299815,102.7346115,,1.71992925,1.574386625,1.719547029,1.535119256,,1.45480175,0.119584875,1,0.119584875
12.438,81,77,112,0.188741937,255,141,1.645299815,102.7346115,,1.71931275,1.71416925,1.71818641,1.598455144,,1.574386625,0.139782625,1,0.139782625
13.101,81,77,113,0.188779529,255,141,1.645299815,102.7346115,,1.718105875,1.831370625,1.717045593,1.722442978,,1.71416925,0.117201375,1,0.117201375
13.761,81,77,114,0.188817122,255,141,1.645299815,102.7346115,,1.716521875,1.94792075,1.715911115,1.885174603,,1.831370625,0.116550125,1,0.116550125
14.421,81,77,115,0.188854714,255,141,1.645299815,102.7346115,,1.716015625,2.063481375,1.714786269,1.937184,,1.94792075,0.115560625,1,0.115560625
15.083,81,77,116,0.188892306,255,141,1.645299815,102.7346115,,1.714573625,2.183561125,1.713617435,2.08532731,,2.063481375,0.12007975,1,0.12007975
15.692,81,77,117,0.188929899,255,141,1.645299815,102.7346115,,1.713126,2.303198625,1.712452905,2.234048502,,2.183561125,0.1196375,1,0.1196375
16.353,81,77,118,0.188967491,255,141,1.645299815,102.7346115,,1.712672,2.412166,1.711392237,2.280690015,,2.303198625,0.108967375,1,0.108967375
